conclusion_date1,conclusion_date2,incident_info,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info
08/2005,06/07/2005,"30/09/2001
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συντριβή μηχανοκίνητου αιωρωρόπτερου (Trike) κατά τη διάρκεια εκπαιδευτικής πτήσης""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=2                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Μηχανοκίνητο Αιωρόπτερο (Trike),"Σαμικό, Ν. ΗλείαςΝηολόγιο(α): -Μηχανοκίνητο Αιωρόπτερο (Trike)"
07/2005,03/06/2005,"15/05/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Κατάρρευση ριναίου σκέλους και ανατροπή υπερελαφρού αεροπλάνου κατά τη διάρκεια αναγκαστικής προσγείωσης""><br/></span>",Μικρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,Αμυγδαλέα ΛάρισαςΝηολόγιο(α): -ΑεροπλάνοΥπερελαφρύ
06/2005,23/05/2005,"18/06/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσγείωση αεροπλάνου με αναπηδήσεις και έξοδο από το διάδρομο""><br/></span>",Μικρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας ΣαντορίνηςΝηολόγιο(α): 4X-CEUΑεροπλάνοΜικρό / Ελαφρύ
05/2005,,"30/05/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσγείωση αεροσκάφους χωρίς να είναι εκτεταμένα τα σκέλη προσγείωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας ΚέρκυραςΝηολόγιο(α): HB-OVRΑεροπλάνοΜικρό / Ελαφρύ
04/2005,22/03/2005,"27/11/2004
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σύγκρουση έλικας μεγάλου ελικόπτερου με κολώνα φωτισμού κατά την τροχοδρόμηση""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μεγάλο,Κρατικός Αερολιμένας ΗρακλείουΝηολόγιο(α): RA-06295ΕλικόπτεροΜεγάλο
03/2005,09/03/2005,"02/05/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς τραυματίστηκε από πτώση λίγο μετά την απογείωσή του""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,"Όρος Ζήρεια, ΚορινθίαΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς"
02/2005,28/01/2005,"29/07/2004
ΣΥΜΒΑΝ",ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αφύσικη επαφή με το διάδρομο κατά την προσγείωση αεροπλάνου με αναπηδήσεις.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας ΚεφαλληνίαςΝηολόγιο(α): S5-DDUΑεροπλάνοΜικρό / Ελαφρύ
01/2005,17/01/2005,"03/05/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Προσθαλάσσωση δικινητήριου αεροπλάνου σε θαλάσσια περιοχή και βύθισή του.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,6.5 νμ ΝΔ νησίδας ΣΕΣΚΛΙΟΥ ΣΥΜΗΣΝηολόγιο(α): D-IWWWΑεροπλάνοΜικρό / Ελαφρύ
14/2004,29/12/2004,"22/05/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Υπερελαφρύ αεροπλάνο κατά την δοκιμαστική του πτήση αντιμετώπισε αδυναμία ελέγχου και έκανε χρήση του βαλλιστικού αλεξιπτώτου διάσωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,"ΧΙΟΣ (13,6 km Βόρεια αεροδρομίου Χίου)Νηολόγιο(α): -ΑεροπλάνοΥπερελαφρύ"
13/2004,17/12/2004,"23/02/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο συγκρούεται με αυτοκίνητα κατά την απογείωση προκαλώντας ζημιά στα σκέλη προσγείωσης και αναγκαστική προσγείωση με ζημιές στο αεροσκάφος.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Τοποθεσία «Αεροδρόμιο Άργους»Νηολόγιο(α): SX-AJXΑεροπλάνοΜικρό / Ελαφρύ
12/2004,24/11/2004,"01/06/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αιωρόπτερο σε πτήση εντός χαράδρας προσέκρουσε σε βράχια και κατέπεσε σε ποταμό με θανάσιμο τραυματισμό του χειριστή του""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αιωρόπτερο (αετός πλαγιάς),Αγ. Ιωάννης (Καµήλα) ΣερρώνΝηολόγιο(α): -Αιωρόπτερο (αετός πλαγιάς)
11/2004,22/10/2004,"11/02/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελικόπτερο που εκτελούσε πτήση για αεροδιακομιδή ασθενούς εκ μέρους του ΕΚΑΒ συνετρίβη στη θάλασσα εν μέσω κακοκαιρίας""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=4                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=4                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,"ΘΑΛΑΣΣΙΑ ΠΕΡΙΟΧΗ 1,2 ΝΜ ΑΠΟ ΑΚΤΗ ΑΝΑΤΟΛΙΚΑ Α/Δ ΙΚΑΡΙΑΣΝηολόγιο(α): SX-HDVΕλικόπτεροΜικρό / Ελαφρύ"
10/2004,,"07/10/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Υπερελαφρύ αεροπλάνο συνετρίβη αμέσως μετά την απογείωσή του""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,Κατοικημένη περιοχή Κοινότητας Ολυμπιάδας Δήµου ΠτολεµαΐδαςΝηολόγιο(α): -ΑεροπλάνοΥπερελαφρύ
09/2004,,"21/03/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Θανάσιμος τραυματισμός χειριστή αλεξιπτώτου πλαγιάς από πτώση στο έδαφος κατά την προσέγγιση""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Ανεμοδρόμιο Αερολέσχης ΈδεσσαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
08/2004,,"07/06/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Τραυματισμός χειριστή αλεξιπτώτου πλαγιάς κατά την απογείωση""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Βελιά Κεραίες ΚαλαβρύτωνΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
07/2004,,"09/08/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Εκτροπή (πλάγια) εκτός διαδρόμου κατά την προσγείωση ελαφρού αεροπλάνου με σοβαρούς τραυματισμούς.""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=2&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=2&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Πεδίο Προσγείωσης Ζυγού ΞάνθηςΝηολόγιο(α): N40899ΑεροπλάνοΜικρό / Ελαφρύ
06/2004,,"08/01/2004
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσθαλάσσωση μικρού εκπαιδευτικού ελικοπτέρου με αυτοπεριστροφή""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,Θαλάσσια Περιοχή στον Αστέρα ΒουλιαγμένηςΝηολόγιο(α): SX-HRBΕλικόπτεροΜικρό / Ελαφρύ
05/2004,,"01/05/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσθαλάσσωση και βύθιση αεροπλάνου στη θάλασσα""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,N.A. AKTH EΥΒΟΙΑΣ (ΠΕΡΙΟΧΗ ΜΕΣΟΧΩΡΙΟΥ)Νηολόγιο(α): SX-AOIΑεροπλάνοΜικρό / Ελαφρύ
04/2004,,"31/01/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Βαριά Προσγείωση με θραύση ριναίου τροχού""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Πεδίο προσγειώσεων Λεχαίου ΚορινθίαςΝηολόγιο(α): SX-ACLΑεροπλάνοΜικρό / Ελαφρύ
03/2004,,"22/08/2002
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αλεξιπτωτιστής πλαγιάς τραυματίζεται κατά την προσγείωση""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,"Μεσσηνιακός Κόλπος, Παραλία ΚαλαμάταςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς"
02/2004,,"27/07/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο κατά την προσγείωση είχε βαριά επαφή με το διάδρομο με αποτέλεσμα να αναπηδήσει ενώ το δεξί σκέλος δίπλωσε. Ο χειριστής κράτησε το αεροσκάφος εντός του διαδρόμου στον οποίο σύρθηκε για περίπου 70 μέτρα.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΑΕΡΟ∆ΡΟΜΙΟ ΠΑΡΟΥ (LGPA)Νηολόγιο(α): N6925CΑεροπλάνοΜικρό / Ελαφρύ
01/2004,,"09/09/2003
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Επιβατικό αεροπλάνο Β-737-400 κατά την προσγείωση και λίγο πριν την επαφή με το διάδρομο αντιμετώπισε διατμητικό άνεμο με αποτέλεσμα την επαφή της αριστερής πτέρυγας με το διάδρομο προσγείωσης  με αποτέλεσμα μικρές ζημιές.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=5                                        Επιβάτες=65&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΗΡΑΚΛΕΙΟΥ (LGIR)Νηολόγιο(α): SX-BKEΑεροπλάνοΜεγάλο
16/2003,29/12/2003,"23/08/2003
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο σε πτήση αεροδιαφήμισης με πανό, μετά τη χαμηλή διέλευση για άφεση του αεροπανό στο αεροδρόμιο, εκτελώντας απότομο ελιγμό στροφής με μεγάλη κλίση αντιμετώπισε αεροδυναμική απώλεια στήριξης και συνετρίβη σε οροφή κτιρίου""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=1&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΠΕ∆ΙΟ ΠΡΟΣΓΕΙΩΣΕΩΝ ΛΕΧΑΙΟΥ ΚΟΡΙΝΘΙΑΣΝηολόγιο(α): SX-AGMΑεροπλάνοΜικρό / Ελαφρύ
15/2003,,"31/05/2002
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""κατά την στάθμευση μικρού δικινητήριου αεροπλάνου για ακινητοποίηση, πτερύγιο της αριστεράς έλικας  χτύπησε σε τροχοεμποδιστήρα (chock) που βρισκόταν στην πίστα σε μικρή απόσταση εμπρός από τις διαγραμμίσεις σταθμεύσεως και τον εκτόξευσε με δύναμη""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,∆ΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝ (LGAT)Νηολόγιο(α): SX-APDΑεροπλάνοΜικρό / Ελαφρύ
14/2003,16/12/2003,"04/08/2002
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο αερολέσχης σε εκπαιδευτική πτήση, αμέσως μετά την απογείωση εκτέλεσε αναγκαστική προσγείωση σε χωράφι με αποτέλεσμα ουσιώδης ζημιές στο αεροπλάνο.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Αεροδρόµιο Τατοΐου (LGTT)Νηολόγιο(α): SX-BDGΑεροπλάνοΜικρό / Ελαφρύ
13/2003,28/11/2003,"14/04/2002
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Υπερελαφρύ αεροπλάνο αμέσως μετά την απογείωση συγκρούστηκε με ηλεκτροφόρα καλώδια της ΔΕΗ και συνετρίβη""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=1&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,"Αγροτική περιοχή πλησίον του χωριού Ολυμπιάδα Εορδαίας Πτολεμαΐδας, Ν. ΚοζάνηςΝηολόγιο(α): -ΑεροπλάνοΥπερελαφρύ"
12/2003,20/10/2003,"30/11/2002
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ δικινητήριο αεροπλάνο κατά την προσέγγιση με πρόβλημα στα ηλεκτρικά, το οποίο είχε ως συνέπεια μη λειτουργικά πτερύγια καμπυλότητας, συνετρίβη κατά την τελική προσέγγιση.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=3&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=1&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=2&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΣΧΗΜΑΤΑΡΙ ΒΟΙΩΤΙΑΣΝηολόγιο(α): SX-ABRΑεροπλάνοΜικρό / Ελαφρύ
